ablation,condition_a,condition_b,metric,mean_a,mean_b,delta,cohens_d,moved_meaningfully
governance,governance_on,governance_off,mean_position_error,0.6962,0.6962,0.0,0.0,False
governance,governance_on,governance_off,stability_score,0.6884,0.6884,0.0,0.0,False
governance,governance_on,governance_off,avg_control_effort,0.0,0.0,0.0,0.0,False
governance,governance_on,governance_off,path_smoothness,0.7,0.7,0.0,0.0,False
governance,governance_on,governance_off,observer_dependence_score,0.0,0.0,0.0,0.0,False
governance,governance_on,governance_off,audit_bandwidth,1.0,1.0,0.0,0.0,False
probe_mode,probe_passive,probe_active_measurement,mean_position_error,0.6962,1.1966,-0.5004,0.0,True
probe_mode,probe_passive,probe_active_measurement,stability_score,0.6884,0.633,0.0554,0.0,True
probe_mode,probe_passive,probe_active_measurement,avg_control_effort,0.0,0.0,0.0,0.0,False
probe_mode,probe_passive,probe_active_measurement,path_smoothness,0.7,0.7,0.0,0.0,False
probe_mode,probe_passive,probe_active_measurement,observer_dependence_score,0.0,1.2402,-1.2402,0.0,True
probe_mode,probe_passive,probe_active_measurement,audit_bandwidth,1.0,0.2,0.8,0.0,True
agent_type,normal_agent,baseline_agent,mean_position_error,0.6962,0.6962,0.0,0.0,False
agent_type,normal_agent,baseline_agent,stability_score,0.6884,0.6884,0.0,0.0,False
agent_type,normal_agent,baseline_agent,avg_control_effort,0.0,0.0,0.0,0.0,False
agent_type,normal_agent,baseline_agent,path_smoothness,0.7,0.7,0.0,0.0,False
agent_type,normal_agent,baseline_agent,observer_dependence_score,0.0,0.0,0.0,0.0,False
agent_type,normal_agent,baseline_agent,audit_bandwidth,1.0,1.0,0.0,0.0,False
bandwidth,bandwidth_unconstrained,bandwidth_constrained,mean_position_error,0.6962,1.0443,-0.3481,0.0,True
bandwidth,bandwidth_unconstrained,bandwidth_constrained,stability_score,0.6884,0.6271,0.0613,0.0,True
bandwidth,bandwidth_unconstrained,bandwidth_constrained,avg_control_effort,0.0,0.0,0.0,0.0,False
bandwidth,bandwidth_unconstrained,bandwidth_constrained,path_smoothness,0.7,0.7,0.0,0.0,False
bandwidth,bandwidth_unconstrained,bandwidth_constrained,observer_dependence_score,0.0,0.4351,-0.4351,0.0,True
bandwidth,bandwidth_unconstrained,bandwidth_constrained,audit_bandwidth,1.0,0.6,0.4,0.0,True
cooperation,cooperation_high,cooperation_low,mean_position_error,0.6962,0.6962,0.0,0.0,False
cooperation,cooperation_high,cooperation_low,stability_score,0.6884,0.6884,0.0,0.0,False
cooperation,cooperation_high,cooperation_low,avg_control_effort,0.0,0.0,0.0,0.0,False
cooperation,cooperation_high,cooperation_low,path_smoothness,0.7,0.7,0.0,0.0,False
cooperation,cooperation_high,cooperation_low,observer_dependence_score,0.0,0.0,0.0,0.0,False
cooperation,cooperation_high,cooperation_low,audit_bandwidth,1.0,1.0,0.0,0.0,False
