time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.5,"(0.29908493063779046, 0.024736756505227442)","(0.29908493063779046, 0.024736756505227442)","(0.5981698612755809, 0.049473513010454884)","(0.5981698612755809, 0.049473513010454884)",0.08252031217671012,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.7975598150341079, 0.06596468401393984)",42,random_walk,continuous_baseline,0.0
1.0,"(0.841182008137707, -0.1118716803416896)","(0.841182008137707, -0.1118716803416896)","(1.084194154999833, -0.2732168736938341)","(1.084194154999833, -0.2732168736938341)",-0.24686008216868802,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.246202252907917, -0.38078033592859706)",42,random_walk,continuous_baseline,0.0
1.5,"(0.9047768016365167, -0.7848379728180939)","(0.9047768016365167, -0.7848379728180939)","(0.1271895869976194, -1.3459325849528085)","(0.1271895869976194, -1.3459325849528085)",-1.4765768994935402,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.19181193566978516, -1.7035044887058)",42,random_walk,continuous_baseline,0.0
2.0,"(1.3415712850650285, -0.3326155913495852)","(1.3415712850650285, -0.3326155913495852)","(0.8735889668570236, 0.9044447629370174)","(0.8735889668570236, 0.9044447629370174)",0.8027503084321226,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.1223887601434916, 1.6545705455669593)",42,random_walk,continuous_baseline,0.0
2.5,"(1.1830157293575798, 0.20359556122763456)","(1.1830157293575798, 0.20359556122763456)","(-0.31711111141489745, 1.0724223051544395)","(-0.31711111141489745, 1.0724223051544395)",1.8582999425672817,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.7140111375055378, 1.1284148192269137)",42,random_walk,continuous_baseline,0.0
3.0,"(1.7845819702909305, -0.05139661132148449)","(1.7845819702909305, -0.05139661132148449)","(1.203132481866701, -0.5099843450982381)","(1.203132481866701, -0.5099843450982381)",-0.4009220016053872,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.7176952145266404, -1.0421948236198375)",42,random_walk,continuous_baseline,0.0
3.5,"(2.2043396267522293, -0.7363903795566928)","(2.2043396267522293, -0.7363903795566928)","(0.8395153129225976, -1.3699875364704168)","(0.8395153129225976, -1.3699875364704168)",-1.0210251102115184,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.7183095899412297, -1.6566552669278098)",42,random_walk,continuous_baseline,0.0
4.0,"(1.748068903123599, -0.4101017061221771)","(1.748068903123599, -0.4101017061221771)","(-0.9125414472572604, 0.6525773468690315)","(-0.9125414472572604, 0.6525773468690315)",2.520790440443039,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.6641156896637965, 1.475310698076243)",42,random_walk,continuous_baseline,0.0
4.5,"(1.4272577842363539, 0.24930152100485947)","(1.4272577842363539, 0.24930152100485947)","(-0.6416222377744902, 1.3188064542540732)","(-0.6416222377744902, 1.3188064542540732)",2.02359976539458,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.5513158346135669, 1.5408828233824203)",42,random_walk,continuous_baseline,0.0
5.0,"(1.4930557261070196, -0.22145060898336755)","(1.4930557261070196, -0.22145060898336755)","(0.13159588374133147, -0.941504259976454)","(0.13159588374133147, -0.941504259976454)",-1.4319240611744941,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.3893352575799387, -1.694941164719963)",42,random_walk,continuous_baseline,0.0
5.5,"(1.8714017112243972, -0.27658038135453944)","(1.8714017112243972, -0.27658038135453944)","(0.7566919702347552, -0.11025954474234373)","(0.7566919702347552, -0.11025954474234373)",-0.14469426460241322,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.9650573323992298, 0.1668220270023597)",42,random_walk,continuous_baseline,0.0
6.0,"(2.2045991159257925, -0.11581342162600633)","(2.2045991159257925, -0.11581342162600633)","(0.6663948094027908, 0.3215339194570662)","(0.6663948094027908, 0.3215339194570662)",0.44954793374288216,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.636295755792136, 0.4654650741902029)",42,random_walk,continuous_baseline,0.0
6.5,"(1.960598768087348, -0.1307796596260712)","(1.960598768087348, -0.1307796596260712)","(-0.4880006956768892, -0.029932476000129687)","(-0.4880006956768892, -0.029932476000129687)",-3.0803324479506635,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.8727991973701159, -0.14708794115252832)",42,random_walk,continuous_baseline,0.0
7.0,"(2.3545796491006152, -0.6174469807002991)","(2.3545796491006152, -0.6174469807002991)","(0.7879617620265342, -0.973334642148456)","(0.7879617620265342, -0.973334642148456)",-0.8902600857137428,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.2132825812610086, -1.2878020308645648)",42,random_walk,continuous_baseline,0.0
7.5,"(2.6831285261063798, -0.24112117161587343)","(2.6831285261063798, -0.24112117161587343)","(0.6570977540115286, 0.7526516181688514)","(0.6570977540115286, 0.7526516181688514)",0.8530753945159174,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.6134764180065266, 1.327980371607954)",42,random_walk,continuous_baseline,0.0
8.0,"(2.582723142303162, 0.11016401395924041)","(2.582723142303162, 0.11016401395924041)","(-0.20081076760643546, 0.7025703711502277)","(-0.20081076760643546, 0.7025703711502277)",1.8491964876276592,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.4867802748124235, 0.6858766221440198)",42,random_walk,continuous_baseline,0.0
8.5,"(2.7887774830444103, 0.6921257201699167)","(2.7887774830444103, 0.6921257201699167)","(0.41210868148249735, 1.1639234124213524)","(0.41210868148249735, 1.1639234124213524)",1.230501567035332,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.6164151645121416, 1.3177077595117273)",42,random_walk,continuous_baseline,0.0
9.0,"(2.9852418902369324, 0.5370278977958147)","(2.9852418902369324, 0.5370278977958147)","(0.39292881438504434, -0.310195644748204)","(0.39292881438504434, -0.310195644748204)",-0.6682716803231248,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.38653552535255997, -0.8015686638047228)",42,random_walk,continuous_baseline,0.0
9.5,"(2.899374923988557, -0.23190707440163738)","(2.899374923988557, -0.23190707440163738)","(-0.17173393249675092, -1.5378699443949042)","(-0.17173393249675092, -1.5378699443949042)",-1.6820055845270985,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.359954848124016, -1.9470947109438042)",42,random_walk,continuous_baseline,0.0
10.0,"(2.4202925295083477, -1.0183528286089094)","(2.4202925295083477, -1.0183528286089094)","(-0.9581647889604186, -1.572891508414544)","(-0.9581647889604186, -1.572891508414544)",-2.1179342046725727,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.5359070454095698, -1.9943688739330128)",42,random_walk,continuous_baseline,0.0
10.5,"(1.7981919178318433, -1.3376215947727186)","(1.7981919178318433, -1.3376215947727186)","(-1.2442012233530089, -0.6385375323276183)","(-1.2442012233530089, -0.6385375323276183)",-2.667432329131627,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.3395467014838722, -0.32708620696530977)",42,random_walk,continuous_baseline,0.0
11.0,"(1.6587147973649423, -1.52738611789372)","(1.6587147973649423, -1.52738611789372)","(-0.27895424093380183, -0.3795290462420027)","(-0.27895424093380183, -0.3795290462420027)",-2.2046287861699234,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.042794753205933844, -0.2931928842134641)",42,random_walk,continuous_baseline,0.0
11.5,"(2.1734317594673085, -1.5119873608756516)","(2.1734317594673085, -1.5119873608756516)","(1.0294339242047321, 0.030797514036136786)","(1.0294339242047321, 0.030797514036136786)",0.029908020396828452,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.4655633125842433, 0.16757303412884994)",42,random_walk,continuous_baseline,0.0
12.0,"(1.8374767728156174, -2.0968778816759337)","(1.8374767728156174, -2.0968778816759337)","(-0.6719099733033824, -1.1697810416005645)","(-0.6719099733033824, -1.1697810416005645)",-2.0921716951437177,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.2686272764011064, -1.607483576332951)",42,random_walk,continuous_baseline,0.0
12.5,"(1.900101766937147, -2.571914555454421)","(1.900101766937147, -2.571914555454421)","(0.12524998824305894, -0.9500733475569749)","(0.12524998824305894, -0.9500733475569749)",-1.4397202769043445,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.39096997542520606, -0.8768374495424451)",42,random_walk,continuous_baseline,0.0
