time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.5,"(-0.4358714203335544, 0.6103409743220669)","(-0.4358714203335544, 0.6103409743220669)","(-0.8717428406671088, 1.2206819486441338)","(-0.8717428406671088, 1.2206819486441338)",2.1909520506444093,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.2085509952066684, 1.6923068536309747)",1046,random_walk,continuous_baseline,0.0
1.0,"(-0.4662507431669308, 0.6046637087190936)","(-0.4662507431669308, 0.6046637087190936)","(-0.060758645666752764, -0.01135453120594676)","(-0.060758645666752764, -0.01135453120594676)",-2.9568444218198353,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.20956941933336592, -0.4220333578226403)",1046,random_walk,continuous_baseline,0.0
1.5,"(-1.113395145412463, 0.21148382060828286)","(-1.113395145412463, 0.21148382060828286)","(-1.2942888044910648, -0.7863597762216215)","(-1.2942888044910648, -0.7863597762216215)",-2.5956319226513798,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.7274006275670843, -1.0581313592337542)",1046,random_walk,continuous_baseline,0.0
2.0,"(-1.5260812974822864, 0.08802419853606694)","(-1.5260812974822864, 0.08802419853606694)","(-0.8253723041396466, -0.24691924414443184)","(-0.8253723041396466, -0.24691924414443184)",-2.850905716736923,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.6690668040225072, -0.0671057334520353)",1046,random_walk,continuous_baseline,0.0
2.5,"(-1.9012349844198624, -0.21726135764738833)","(-1.9012349844198624, -0.21726135764738833)","(-0.7503073738751521, -0.6105711123669105)","(-0.7503073738751521, -0.6105711123669105)",-2.458516813058047,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.725285730453654, -0.7317884017744034)",1046,random_walk,continuous_baseline,0.0
3.0,"(-1.8230544713738668, 0.17775886493756862)","(-1.8230544713738668, 0.17775886493756862)","(0.1563610260919913, 0.7900404451699139)","(0.1563610260919913, 0.7900404451699139)",1.375406167365005,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.4585838260810391, 1.2569109643488554)",1046,random_walk,continuous_baseline,0.0
3.5,"(-1.9884250767375662, 0.7624571665068809)","(-1.9884250767375662, 0.7624571665068809)","(-0.3307412107273988, 1.1693966031386245)","(-0.3307412107273988, 1.1693966031386245)",1.8464279644243524,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.4931086230005288, 1.2958486557948614)",1046,random_walk,continuous_baseline,0.0
4.0,"(-2.5087387359677535, 0.3314950392008411)","(-2.5087387359677535, 0.3314950392008411)","(-1.0406273184603743, -0.8619242546120796)","(-1.0406273184603743, -0.8619242546120796)",-2.44984782165004,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.4768711752029113, -1.7795577317363138)",1046,random_walk,continuous_baseline,0.0
4.5,"(-2.825426028720513, -0.5026593737375518)","(-2.825426028720513, -0.5026593737375518)","(-0.6333745855055184, -1.6683088258767858)","(-0.6333745855055184, -1.6683088258767858)",-1.9336380612011892,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.5004946306280975, -1.9482794769118978)",1046,random_walk,continuous_baseline,0.0
5.0,"(-3.0046635129018737, -0.37453015553896507)","(-3.0046635129018737, -0.37453015553896507)","(-0.3584749683627218, 0.2562584363971734)","(-0.3584749683627218, 0.2562584363971734)",2.520964808908875,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.26684176264845627, 0.8977808571551598)",1046,random_walk,continuous_baseline,0.0
5.5,"(-3.7018948439755075, -0.7124243113471028)","(-3.7018948439755075, -0.7124243113471028)","(-1.3944626621472678, -0.6757883116162755)","(-1.3944626621472678, -0.6757883116162755)",-2.690322358670815,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.9457049484937468, -1.1032242759972437)",1046,random_walk,continuous_baseline,0.0
6.0,"(-3.95913283906633, -0.7874843756703422)","(-3.95913283906633, -0.7874843756703422)","(-0.5144759901816451, -0.15012012864647878)","(-0.5144759901816451, -0.15012012864647878)",-2.857682771460431,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.22114709952643752, 0.02510259901012013)",1046,random_walk,continuous_baseline,0.0
6.5,"(-4.454198494893362, -0.9795337551261677)","(-4.454198494893362, -0.9795337551261677)","(-0.9901313116540638, -0.38409875891165085)","(-0.9901313116540638, -0.38409875891165085)",-2.7715370856721835,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.1486830854782033, -0.4620916356667082)",1046,random_walk,continuous_baseline,0.0
7.0,"(-3.9744275270720713, -1.4727905595811426)","(-3.9744275270720713, -1.4727905595811426)","(0.9595419356425811, -0.9865136089099495)","(0.9595419356425811, -0.9865136089099495)",-0.7992569386741429,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.8868730036722403, -1.391992900857106)",1046,random_walk,continuous_baseline,0.0
7.5,"(-4.212260334947025, -1.9534934120347491)","(-4.212260334947025, -1.9534934120347491)","(-0.4756656157499085, -0.961405704907213)","(-0.4756656157499085, -0.961405704907213)",-2.0302435978093434,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.9540681328807383, -0.9530364035729675)",1046,random_walk,continuous_baseline,0.0
8.0,"(-4.197075199109243, -1.68352417737899)","(-4.197075199109243, -1.68352417737899)","(0.030370271675564303, 0.5399384693115183)","(0.030370271675564303, 0.5399384693115183)",1.514607880168481,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.19904890081738857, 1.0403865273844288)",1046,random_walk,continuous_baseline,0.0
8.5,"(-4.126796765595668, -1.2112812002638418)","(-4.126796765595668, -1.2112812002638418)","(0.1405568670271482, 0.9444859542302965)","(0.1405568670271482, 0.9444859542302965)",1.4230622003133304,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.17728573214434284, 1.0793351158698892)",1046,random_walk,continuous_baseline,0.0
9.0,"(-4.6195441506187125, -1.642835381406224)","(-4.6195441506187125, -1.642835381406224)","(-0.9854947700460877, -0.8631083622847643)","(-0.9854947700460877, -0.8631083622847643)",-2.4223028207226855,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.722146885045904, -1.8547640859065648)",1046,random_walk,continuous_baseline,0.0
9.5,"(-4.880875839370882, -1.9952064207679163)","(-4.880875839370882, -1.9952064207679163)","(-0.522663377504339, -0.7047420787233846)","(-0.522663377504339, -0.7047420787233846)",-2.2089241229463576,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.3683862466570895, -0.651953317536258)",1046,random_walk,continuous_baseline,0.0
10.0,"(-4.835122453722897, -2.250840237877928)","(-4.835122453722897, -2.250840237877928)","(0.09150677129596951, -0.5112676342200239)","(0.09150677129596951, -0.5112676342200239)",-1.393691382324184,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.2962301542294057, -0.4467761527189036)",1046,random_walk,continuous_baseline,0.0
10.5,"(-4.904769483025618, -2.1744144894319426)","(-4.904769483025618, -2.1744144894319426)","(-0.13929405860544256, 0.15285149689197128)","(-0.13929405860544256, 0.15285149689197128)",2.309821309627149,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.2162276685725799, 0.37422454059596966)",1046,random_walk,continuous_baseline,0.0
11.0,"(-5.122318364224516, -2.839549803360333)","(-5.122318364224516, -2.839549803360333)","(-0.4350977623977969, -1.3302706278567809)","(-0.4350977623977969, -1.3302706278567809)",-1.886903504461374,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.5336989969952484, -1.824644669439698)",1046,random_walk,continuous_baseline,0.0
