time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.5,"(0.75, 0.0)","(0.75, 0.0)","(1.5, 0.0)","(1.5, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(10.0, 0.0)",42,proportional,continuous_baseline,0.0
1.0,"(1.6875, 0.0)","(1.6875, 0.0)","(1.875, 0.0)","(1.875, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(9.25, 0.0)",42,proportional,continuous_baseline,0.0
1.5,"(2.671875, 0.0)","(2.671875, 0.0)","(1.96875, 0.0)","(1.96875, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(8.3125, 0.0)",42,proportional,continuous_baseline,0.0
2.0,"(3.66796875, 0.0)","(3.66796875, 0.0)","(1.9921875, 0.0)","(1.9921875, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(7.328125, 0.0)",42,proportional,continuous_baseline,0.0
2.5,"(4.6669921875, 0.0)","(4.6669921875, 0.0)","(1.998046875, 0.0)","(1.998046875, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(6.33203125, 0.0)",42,proportional,continuous_baseline,0.0
3.0,"(5.666748046875, 0.0)","(5.666748046875, 0.0)","(1.99951171875, 0.0)","(1.99951171875, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(5.3330078125, 0.0)",42,proportional,continuous_baseline,0.0
3.5,"(6.66668701171875, 0.0)","(6.66668701171875, 0.0)","(1.9998779296875, 0.0)","(1.9998779296875, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(4.333251953125, 0.0)",42,proportional,continuous_baseline,0.0
4.0,"(7.6666717529296875, 0.0)","(7.6666717529296875, 0.0)","(1.9999694824218748, 0.0)","(1.9999694824218748, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(3.33331298828125, 0.0)",42,proportional,continuous_baseline,0.0
4.5,"(8.666667938232422, 0.0)","(8.666667938232422, 0.0)","(1.9999923706054688, 0.0)","(1.9999923706054688, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(2.3333282470703125, 0.0)",42,proportional,continuous_baseline,0.0
5.0,"(9.416666507720947, 0.0)","(9.416666507720947, 0.0)","(1.4999971389770508, 0.0)","(1.4999971389770508, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.3333320617675781, 0.0)",42,proportional,continuous_baseline,0.0
5.5,"(9.822916209697723, 0.0)","(9.822916209697723, 0.0)","(0.8124994039535522, 0.0)","(0.8124994039535522, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.5833334922790527, 0.0)",42,proportional,continuous_baseline,0.0
6.0,"(9.990885056555271, 0.0)","(9.990885056555271, 0.0)","(0.3359376937150955, 0.0)","(0.3359376937150955, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.1770837903022766, 0.0)",42,proportional,continuous_baseline,0.0
6.5,"(10.036295372061431, 0.0)","(10.036295372061431, 0.0)","(0.09082063101232052, 0.0)","(0.09082063101232052, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.009114943444728851, 0.0)",42,proportional,continuous_baseline,0.0
7.0,"(10.034037186414935, 0.0)","(10.034037186414935, 0.0)","(-0.004516371292993426, 0.0)","(-0.004516371292993426, 0.0)",3.141592653589793,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.03629537206143141, 0.0)",42,proportional,continuous_baseline,0.0
7.5,"(10.02070869509771, 0.0)","(10.02070869509771, 0.0)","(-0.026656982634449378, 0.0)","(-0.026656982634449378, 0.0)",3.141592653589793,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.034037186414934695, 0.0)",42,proportional,continuous_baseline,0.0
8.0,"(10.009610811606763, 0.0)","(10.009610811606763, 0.0)","(-0.02219576698189485, 0.0)","(-0.02219576698189485, 0.0)",3.141592653589793,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.020708695097710006, 0.0)",42,proportional,continuous_baseline,0.0
8.5,"(10.00323228638149, 0.0)","(10.00323228638149, 0.0)","(-0.012757050450545648, 0.0)","(-0.012757050450545648, 0.0)",3.141592653589793,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.009610811606762582, 0.0)",42,proportional,continuous_baseline,0.0
9.0,"(10.000425547682113, 0.0)","(10.000425547682113, 0.0)","(-0.00561347739875373, 0.0)","(-0.00561347739875373, 0.0)",3.141592653589793,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.0032322863814897573, 0.0)",42,proportional,continuous_baseline,0.0
9.5,"(9.999564282626476, 0.0)","(9.999564282626476, 0.0)","(-0.0017225301112731017, 0.0)","(-0.0017225301112731017, 0.0)",3.141592653589793,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.0004255476821128923, 0.0)",42,proportional,continuous_baseline,0.0
10.0,"(9.999512360377638, 0.0)","(9.999512360377638, 0.0)","(-0.0001038444976755315, 0.0)","(-0.0001038444976755315, 0.0)",3.141592653589793,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.0004357173735236586, 0.0)",42,proportional,continuous_baseline,0.0
10.5,"(9.999682244673814, 0.0)","(9.999682244673814, 0.0)","(0.00033976859235251844, 0.0)","(0.00033976859235251844, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.0004876396223618684, 0.0)",42,proportional,continuous_baseline,0.0
11.0,"(9.999843873995177, 0.0)","(9.999843873995177, 0.0)","(0.0003232586427279194, 0.0)","(0.0003232586427279194, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.00031775532618638636, 0.0)",42,proportional,continuous_baseline,0.0
