metric,mean,std,min,max,ci_lo,ci_hi,n,consistency_score,stability
position_error,0.33416,0.0,0.33416,0.33416,0.33416,0.33416,5,1.0,stable
velocity_error,0.165968,0.0,0.165968,0.165968,0.165968,0.165968,5,1.0,stable
stability_score,0.372537,0.0,0.372537,0.372537,0.372537,0.372537,5,1.0,stable
anisotropy_score,486.645833,0.0,486.645833,486.645833,486.645833,486.645833,5,1.0,stable
observer_dependence_score,9.732917,0.0,9.732917,9.732917,9.732917,9.732917,5,1.0,stable
bandwidth_bottleneck_score,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,stable
quantization_artifact_score,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,stable
control_effort,26.707976,0.0,26.707976,26.707976,26.707976,26.707976,5,1.0,stable
path_smoothness,5.48544,0.0,5.48544,5.48544,5.48544,5.48544,5,1.0,stable
convergence_time,3.0,0.0,3.0,3.0,3.0,3.0,5,1.0,stable
