time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.5,"(0.167705288118642, 0.4826403481257939)","(0.167705288118642, 0.4826403481257939)","(0.335410576237284, 0.9652806962515879)","(0.335410576237284, 0.9652806962515879)",1.2363730276586677,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.447214101649712, 1.2870409283354505)",42,random_walk,continuous_baseline,0.0
1.0,"(-0.15225520113911273, 0.13441830959747003)","(-0.15225520113911273, 0.13441830959747003)","(-0.6399209785155094, -0.6964440770566478)","(-0.6399209785155094, -0.6964440770566478)",-2.313923533988116,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.9650314967664406, -1.2503523348260597)",42,random_walk,continuous_baseline,0.0
1.5,"(0.2415588512438005, -0.25915938486130835)","(0.2415588512438005, -0.25915938486130835)","(0.7876281047658265, -0.7871553889175568)","(0.7876281047658265, -0.7871553889175568)",-0.7850979850961343,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.2634777991929385, -0.8173924928711931)",42,random_walk,continuous_baseline,0.0
2.0,"(-0.29953376655335595, 0.03421238003436494)","(-0.29953376655335595, 0.03421238003436494)","(-1.082185235594313, 0.5867435297913466)","(-1.082185235594313, 0.5867435297913466)",2.644770001168702,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.7862430641793696, 1.0941972802331552)",42,random_walk,continuous_baseline,0.0
2.5,"(-0.30576616024627645, -0.31141204410844464)","(-0.30576616024627645, -0.31141204410844464)","(-0.012464787385841003, -0.6912488482856192)","(-0.012464787385841003, -0.6912488482856192)",-1.5888266448948338,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.3441086953503163, -1.1172463076446078)",42,random_walk,continuous_baseline,0.0
3.0,"(-0.14740260978774994, -0.28884578680585404)","(-0.14740260978774994, -0.28884578680585404)","(0.31672710091705303, 0.04513251460518125)","(0.31672710091705303, 0.04513251460518125)",0.1415436416458489,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.42645773035135104, 0.2905929689021147)",42,random_walk,continuous_baseline,0.0
3.5,"(-0.20985150422786247, -0.7993977793289976)","(-0.20985150422786247, -0.7993977793289976)","(-0.1248977888802251, -1.021103985046287)","(-0.1248977888802251, -1.021103985046287)",-1.6925081651467486,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.2721060854793178, -1.3765161515967765)",42,random_walk,continuous_baseline,0.0
4.0,"(0.4233483089347633, -1.3032577078930323)","(0.4233483089347633, -1.3032577078930323)","(1.2663996263252515, -1.0077198571280694)","(1.2663996263252515, -1.0077198571280694)",-0.6721355694963338,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.9586402610120857, -1.1357425236555159)",42,random_walk,continuous_baseline,0.0
4.5,"(0.08912772158375365, -1.9948405089241823)","(0.08912772158375365, -1.9948405089241823)","(-0.6684411747020192, -1.3831656020623002)","(-0.6684411747020192, -1.3831656020623002)",-2.0209698401082785,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.657240088918953, -1.903198845778948)",42,random_walk,continuous_baseline,0.0
5.0,"(0.06736268684949835, -2.377339107122557)","(0.06736268684949835, -2.377339107122557)","(-0.043530069468510596, -0.7649971963967495)","(-0.043530069468510596, -0.7649971963967495)",-1.6276372919730282,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.1647736322759923, -0.5589410611748993)",42,random_walk,continuous_baseline,0.0
5.5,"(0.687431090818029, -2.666437025562363)","(0.687431090818029, -2.666437025562363)","(1.2401368079370614, -0.5781958368796121)","(1.2401368079370614, -0.5781958368796121)",-0.43627306240284275,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.668025767072252, -0.5159287170405662)",42,random_walk,continuous_baseline,0.0
6.0,"(0.9411688793323099, -3.364235956110986)","(0.9411688793323099, -3.364235956110986)","(0.5074755770285616, -1.3955978610972455)","(0.5074755770285616, -1.3955978610972455)",-1.2220345339966094,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.26325516672572835, -1.6680652025031235)",42,random_walk,continuous_baseline,0.0
6.5,"(1.6801983806895153, -3.6885234565237552)","(1.6801983806895153, -3.6885234565237552)","(1.4780590027144112, -0.6485750008255385)","(1.4780590027144112, -0.6485750008255385)",-0.4135026057667421,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.801586811276361, -0.39956738073496956)",42,random_walk,continuous_baseline,0.0
7.0,"(1.8302719562665093, -3.194579673436998)","(1.8302719562665093, -3.194579673436998)","(0.30014715115398777, 0.9878875661735146)","(0.30014715115398777, 0.9878875661735146)",1.2758320134672605,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.0924901326994867, 1.5333750885065323)",42,random_walk,continuous_baseline,0.0
7.5,"(2.4218686369320115, -3.0710100646560465)","(2.4218686369320115, -3.0710100646560465)","(1.1831933613310044, 0.24713921756190285)","(1.1831933613310044, 0.24713921756190285)",0.20591422823967861,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.4775420980566767, 0.00022310135803227382)",42,random_walk,continuous_baseline,0.0
8.0,"(3.0196673094598916, -2.7515947501056224)","(3.0196673094598916, -2.7515947501056224)","(1.1955973450557598, 0.6388306291008484)","(1.1955973450557598, 0.6388306291008484)",0.4907245632029974,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.1997320062973449, 0.7693944329471636)",42,random_walk,continuous_baseline,0.0
8.5,"(3.599095280519328, -2.848679293318936)","(3.599095280519328, -2.848679293318936)","(1.158855942118873, -0.19416908642662697)","(1.158855942118873, -0.19416908642662697)",-0.1660103413762861,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.1466088078065777, -0.4718356582691188)",42,random_walk,continuous_baseline,0.0
9.0,"(3.0761888084232405, -3.214406070453467)","(3.0761888084232405, -3.214406070453467)","(-1.0458129441921753, -0.7314535542690619)","(-1.0458129441921753, -0.7314535542690619)",-2.531261794226599,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.8810575604573905, -0.9618641172898488)",42,random_walk,continuous_baseline,0.0
9.5,"(3.3077759715664787, -3.4242622725488907)","(3.3077759715664787, -3.4242622725488907)","(0.46317432628647637, -0.41971240419084765)","(0.46317432628647637, -0.41971240419084765)",-0.7362108051494821,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.9661700831126936, -0.3157986874981096)",42,random_walk,continuous_baseline,0.0
