condition,gamma,bin_index,screen_position,probability,hit_count
one_slit,0.0,0,-40.0,0.5727866972,179
one_slit,0.0,1,-39.59798995,0.579596164,181
one_slit,0.0,2,-39.1959799,0.5863988978,176
one_slit,0.0,3,-38.79396985,0.5931934427,159
one_slit,0.0,4,-38.3919598,0.5999783382,174
one_slit,0.0,5,-37.98994975,0.606752119,167
one_slit,0.0,6,-37.5879397,0.6135133161,194
one_slit,0.0,7,-37.18592965,0.6202604569,174
one_slit,0.0,8,-36.7839196,0.6269920658,197
one_slit,0.0,9,-36.38190955,0.6337066643,182
one_slit,0.0,10,-35.9798995,0.6404027722,172
one_slit,0.0,11,-35.57788945,0.6470789073,190
one_slit,0.0,12,-35.1758794,0.6537335862,205
one_slit,0.0,13,-34.77386935,0.6603653248,182
one_slit,0.0,14,-34.3718593,0.6669726387,206
one_slit,0.0,15,-33.96984925,0.6735540435,183
one_slit,0.0,16,-33.5678392,0.6801080556,203
one_slit,0.0,17,-33.16582915,0.6866331923,206
one_slit,0.0,18,-32.7638191,0.6931279726,213
one_slit,0.0,19,-32.36180905,0.6995909174,208
one_slit,0.0,20,-31.95979899,0.7060205504,190
one_slit,0.0,21,-31.55778894,0.7124153976,216
one_slit,0.0,22,-31.15577889,0.718773989,213
one_slit,0.0,23,-30.75376884,0.7250948583,220
one_slit,0.0,24,-30.35175879,0.7313765435,229
one_slit,0.0,25,-29.94974874,0.7376175877,246
one_slit,0.0,26,-29.54773869,0.7438165388,217
one_slit,0.0,27,-29.14572864,0.7499719509,245
one_slit,0.0,28,-28.74371859,0.7560823842,213
one_slit,0.0,29,-28.34170854,0.7621464055,212
one_slit,0.0,30,-27.93969849,0.7681625888,222
one_slit,0.0,31,-27.53768844,0.7741295157,215
one_slit,0.0,32,-27.13567839,0.780045776,249
one_slit,0.0,33,-26.73366834,0.7859099678,252
one_slit,0.0,34,-26.33165829,0.7917206984,253
one_slit,0.0,35,-25.92964824,0.7974765845,232
one_slit,0.0,36,-25.52763819,0.8031762526,227
one_slit,0.0,37,-25.12562814,0.8088183397,253
one_slit,0.0,38,-24.72361809,0.8144014933,239
one_slit,0.0,39,-24.32160804,0.8199243724,242
one_slit,0.0,40,-23.91959799,0.8253856477,235
one_slit,0.0,41,-23.51758794,0.8307840019,212
one_slit,0.0,42,-23.11557789,0.8361181301,263
one_slit,0.0,43,-22.71356784,0.8413867407,261
one_slit,0.0,44,-22.31155779,0.8465885553,252
one_slit,0.0,45,-21.90954774,0.8517223093,241
one_slit,0.0,46,-21.50753769,0.8567867524,237
one_slit,0.0,47,-21.10552764,0.861780649,246
one_slit,0.0,48,-20.70351759,0.8667027786,257
one_slit,0.0,49,-20.30150754,0.871551936,240
one_slit,0.0,50,-19.89949749,0.876326932,287
one_slit,0.0,51,-19.49748744,0.8810265937,275
one_slit,0.0,52,-19.09547739,0.8856497648,246
one_slit,0.0,53,-18.69346734,0.890195306,238
one_slit,0.0,54,-18.29145729,0.8946620955,232
one_slit,0.0,55,-17.88944724,0.8990490294,273
one_slit,0.0,56,-17.48743719,0.9033550218,268
one_slit,0.0,57,-17.08542714,0.9075790054,272
one_slit,0.0,58,-16.68341709,0.9117199319,293
one_slit,0.0,59,-16.28140704,0.9157767719,266
one_slit,0.0,60,-15.87939698,0.9197485162,263
one_slit,0.0,61,-15.47738693,0.9236341749,265
one_slit,0.0,62,-15.07537688,0.9274327787,267
one_slit,0.0,63,-14.67336683,0.9311433788,263
one_slit,0.0,64,-14.27135678,0.9347650475,281
one_slit,0.0,65,-13.86934673,0.938296878,280
one_slit,0.0,66,-13.46733668,0.9417379853,277
one_slit,0.0,67,-13.06532663,0.9450875061,310
one_slit,0.0,68,-12.66331658,0.9483445993,276
one_slit,0.0,69,-12.26130653,0.9515084461,326
one_slit,0.0,70,-11.85929648,0.9545782504,308
one_slit,0.0,71,-11.45728643,0.9575532393,289
one_slit,0.0,72,-11.05527638,0.9604326627,288
one_slit,0.0,73,-10.65326633,0.9632157942,278
one_slit,0.0,74,-10.25125628,0.9659019313,264
one_slit,0.0,75,-9.84924623,0.968490395,277
one_slit,0.0,76,-9.44723618,0.9709805309,304
one_slit,0.0,77,-9.04522613,0.9733717088,290
one_slit,0.0,78,-8.64321608,0.9756633232,275
one_slit,0.0,79,-8.24120603,0.9778547933,304
one_slit,0.0,80,-7.83919598,0.9799455635,296
one_slit,0.0,81,-7.43718593,0.9819351034,299
one_slit,0.0,82,-7.03517588,0.9838229077,305
one_slit,0.0,83,-6.63316583,0.9856084972,301
one_slit,0.0,84,-6.23115578,0.9872914178,288
one_slit,0.0,85,-5.82914573,0.9888712419,303
one_slit,0.0,86,-5.42713568,0.9903475675,294
one_slit,0.0,87,-5.02512563,0.991720019,314
one_slit,0.0,88,-4.62311558,0.9929882468,290
one_slit,0.0,89,-4.22110553,0.9941519282,287
one_slit,0.0,90,-3.81909548,0.9952107666,314
one_slit,0.0,91,-3.41708543,0.9961644921,291
one_slit,0.0,92,-3.01507538,0.9970128618,316
one_slit,0.0,93,-2.61306533,0.9977556592,280
one_slit,0.0,94,-2.21105528,0.998392695,267
one_slit,0.0,95,-1.80904523,0.9989238066,322
one_slit,0.0,96,-1.40703518,0.9993488587,302
one_slit,0.0,97,-1.00502513,0.9996677426,270
one_slit,0.0,98,-0.60301508,0.9998803772,321
one_slit,0.0,99,-0.20100503,0.999986708,298
one_slit,0.0,100,0.20100503,0.999986708,330
one_slit,0.0,101,0.60301508,0.9998803772,290
one_slit,0.0,102,1.00502513,0.9996677426,251
one_slit,0.0,103,1.40703518,0.9993488587,267
one_slit,0.0,104,1.80904523,0.9989238066,297
one_slit,0.0,105,2.21105528,0.998392695,280
one_slit,0.0,106,2.61306533,0.9977556592,298
one_slit,0.0,107,3.01507538,0.9970128618,278
one_slit,0.0,108,3.41708543,0.9961644921,283
one_slit,0.0,109,3.81909548,0.9952107666,281
one_slit,0.0,110,4.22110553,0.9941519282,290
one_slit,0.0,111,4.62311558,0.9929882468,296
one_slit,0.0,112,5.02512563,0.991720019,319
one_slit,0.0,113,5.42713568,0.9903475675,259
one_slit,0.0,114,5.82914573,0.9888712419,302
one_slit,0.0,115,6.23115578,0.9872914178,285
one_slit,0.0,116,6.63316583,0.9856084972,293
one_slit,0.0,117,7.03517588,0.9838229077,289
one_slit,0.0,118,7.43718593,0.9819351034,293
one_slit,0.0,119,7.83919598,0.9799455635,297
one_slit,0.0,120,8.24120603,0.9778547933,277
one_slit,0.0,121,8.64321608,0.9756633232,281
one_slit,0.0,122,9.04522613,0.9733717088,294
one_slit,0.0,123,9.44723618,0.9709805309,290
one_slit,0.0,124,9.84924623,0.968490395,319
one_slit,0.0,125,10.25125628,0.9659019313,303
one_slit,0.0,126,10.65326633,0.9632157942,288
one_slit,0.0,127,11.05527638,0.9604326627,294
one_slit,0.0,128,11.45728643,0.9575532393,261
one_slit,0.0,129,11.85929648,0.9545782504,265
one_slit,0.0,130,12.26130653,0.9515084461,291
one_slit,0.0,131,12.66331658,0.9483445993,268
one_slit,0.0,132,13.06532663,0.9450875061,312
one_slit,0.0,133,13.46733668,0.9417379853,308
one_slit,0.0,134,13.86934673,0.938296878,278
one_slit,0.0,135,14.27135678,0.9347650475,262
one_slit,0.0,136,14.67336683,0.9311433788,254
one_slit,0.0,137,15.07537688,0.9274327787,270
one_slit,0.0,138,15.47738693,0.9236341749,277
one_slit,0.0,139,15.87939698,0.9197485162,269
one_slit,0.0,140,16.28140704,0.9157767719,269
one_slit,0.0,141,16.68341709,0.9117199319,281
one_slit,0.0,142,17.08542714,0.9075790054,263
one_slit,0.0,143,17.48743719,0.9033550218,291
one_slit,0.0,144,17.88944724,0.8990490294,278
one_slit,0.0,145,18.29145729,0.8946620955,283
one_slit,0.0,146,18.69346734,0.890195306,278
one_slit,0.0,147,19.09547739,0.8856497648,270
one_slit,0.0,148,19.49748744,0.8810265937,231
one_slit,0.0,149,19.89949749,0.876326932,258
one_slit,0.0,150,20.30150754,0.871551936,254
one_slit,0.0,151,20.70351759,0.8667027786,281
one_slit,0.0,152,21.10552764,0.861780649,241
one_slit,0.0,153,21.50753769,0.8567867524,254
one_slit,0.0,154,21.90954774,0.8517223093,287
one_slit,0.0,155,22.31155779,0.8465885553,248
one_slit,0.0,156,22.71356784,0.8413867407,258
one_slit,0.0,157,23.11557789,0.8361181301,241
one_slit,0.0,158,23.51758794,0.8307840019,239
one_slit,0.0,159,23.91959799,0.8253856477,265
one_slit,0.0,160,24.32160804,0.8199243724,236
one_slit,0.0,161,24.72361809,0.8144014933,258
one_slit,0.0,162,25.12562814,0.8088183397,240
one_slit,0.0,163,25.52763819,0.8031762526,244
one_slit,0.0,164,25.92964824,0.7974765845,229
one_slit,0.0,165,26.33165829,0.7917206984,226
one_slit,0.0,166,26.73366834,0.7859099678,255
one_slit,0.0,167,27.13567839,0.780045776,222
one_slit,0.0,168,27.53768844,0.7741295157,223
one_slit,0.0,169,27.93969849,0.7681625888,224
one_slit,0.0,170,28.34170854,0.7621464055,230
one_slit,0.0,171,28.74371859,0.7560823842,199
one_slit,0.0,172,29.14572864,0.7499719509,212
one_slit,0.0,173,29.54773869,0.7438165388,208
one_slit,0.0,174,29.94974874,0.7376175877,212
one_slit,0.0,175,30.35175879,0.7313765435,186
one_slit,0.0,176,30.75376884,0.7250948583,223
one_slit,0.0,177,31.15577889,0.718773989,212
one_slit,0.0,178,31.55778894,0.7124153976,199
one_slit,0.0,179,31.95979899,0.7060205504,233
one_slit,0.0,180,32.36180905,0.6995909174,210
one_slit,0.0,181,32.7638191,0.6931279726,196
one_slit,0.0,182,33.16582915,0.6866331923,180
one_slit,0.0,183,33.5678392,0.6801080556,183
one_slit,0.0,184,33.96984925,0.6735540435,198
one_slit,0.0,185,34.3718593,0.6669726387,222
one_slit,0.0,186,34.77386935,0.6603653248,182
one_slit,0.0,187,35.1758794,0.6537335862,176
one_slit,0.0,188,35.57788945,0.6470789073,203
one_slit,0.0,189,35.9798995,0.6404027722,183
one_slit,0.0,190,36.38190955,0.6337066643,211
one_slit,0.0,191,36.7839196,0.6269920658,191
one_slit,0.0,192,37.18592965,0.6202604569,187
one_slit,0.0,193,37.5879397,0.6135133161,178
one_slit,0.0,194,37.98994975,0.606752119,181
one_slit,0.0,195,38.3919598,0.5999783382,155
one_slit,0.0,196,38.79396985,0.5931934427,179
one_slit,0.0,197,39.1959799,0.5863988978,201
one_slit,0.0,198,39.59798995,0.579596164,180
one_slit,0.0,199,40.0,0.5727866972,151
two_slit_coherent,0.0,0,-40.0,0.2203811383,40
two_slit_coherent,0.0,1,-39.59798995,0.1591297476,24
two_slit_coherent,0.0,2,-39.1959799,0.1066940123,20
two_slit_coherent,0.0,3,-38.79396985,0.0639949937,13
two_slit_coherent,0.0,4,-38.3919598,0.0318655615,2
two_slit_coherent,0.0,5,-37.98994975,0.0110389498,0
two_slit_coherent,0.0,6,-37.5879397,0.0021382406,0
two_slit_coherent,0.0,7,-37.18592965,0.0056669149,2
two_slit_coherent,0.0,8,-36.7839196,0.0220006047,0
two_slit_coherent,0.0,9,-36.38190955,0.0513801677,9
two_slit_coherent,0.0,10,-35.9798995,0.0939061902,14
two_slit_coherent,0.0,11,-35.57788945,0.1495350114,25
two_slit_coherent,0.0,12,-35.1758794,0.218076342,35
two_slit_coherent,0.0,13,-34.77386935,0.2991925364,48
two_slit_coherent,0.0,14,-34.3718593,0.3923995558,66
two_slit_coherent,0.0,15,-33.96984925,0.49706964,76
two_slit_coherent,0.0,16,-33.5678392,0.6124356883,99
two_slit_coherent,0.0,17,-33.16582915,0.7375973259,112
two_slit_coherent,0.0,18,-32.7638191,0.8715286139,118
two_slit_coherent,0.0,19,-32.36180905,1.0130873402,158
two_slit_coherent,0.0,20,-31.95979899,1.1610258121,158
two_slit_coherent,0.0,21,-31.55778894,1.3140030261,215
two_slit_coherent,0.0,22,-31.15577889,1.470598151,219
two_slit_coherent,0.0,23,-30.75376884,1.6293251131,271
two_slit_coherent,0.0,24,-30.35175879,1.7886481855,237
two_slit_coherent,0.0,25,-29.94974874,1.9469983931,310
two_slit_coherent,0.0,26,-29.54773869,2.1027905578,307
two_slit_coherent,0.0,27,-29.14572864,2.2544407949,343
two_slit_coherent,0.0,28,-28.74371859,2.4003842631,372
two_slit_coherent,0.0,29,-28.34170854,2.5390929654,391
two_slit_coherent,0.0,30,-27.93969849,2.6690933947,400
two_slit_coherent,0.0,31,-27.53768844,2.7889838151,439
two_slit_coherent,0.0,32,-27.13567839,2.8974509753,472
two_slit_coherent,0.0,33,-26.73366834,2.9932860505,491
two_slit_coherent,0.0,34,-26.33165829,3.0753996167,454
two_slit_coherent,0.0,35,-25.92964824,3.1428354735,465
two_slit_coherent,0.0,36,-25.52763819,3.1947831363,528
two_slit_coherent,0.0,37,-25.12562814,3.2305888395,504
two_slit_coherent,0.0,38,-24.72361809,3.2497649013,511
two_slit_coherent,0.0,39,-24.32160804,3.2519973236,486
two_slit_coherent,0.0,40,-23.91959799,3.2371515158,462
two_slit_coherent,0.0,41,-23.51758794,3.2052760545,525
two_slit_coherent,0.0,42,-23.11557789,3.1566044117,458
two_slit_coherent,0.0,43,-22.71356784,3.0915546085,459
two_slit_coherent,0.0,44,-22.31155779,3.0107267737,444
two_slit_coherent,0.0,45,-21.90954774,2.9148986124,492
two_slit_coherent,0.0,46,-21.50753769,2.805018813,409
two_slit_coherent,0.0,47,-21.10552764,2.6821984476,358
two_slit_coherent,0.0,48,-20.70351759,2.5477004413,404
two_slit_coherent,0.0,49,-20.30150754,2.4029272127,371
two_slit_coherent,0.0,50,-19.89949749,2.2494066097,362
two_slit_coherent,0.0,51,-19.49748744,2.0887762827,316
two_slit_coherent,0.0,52,-19.09547739,1.922766662,283
two_slit_coherent,0.0,53,-18.69346734,1.7531827198,271
two_slit_coherent,0.0,54,-18.29145729,1.5818847154,229
two_slit_coherent,0.0,55,-17.88944724,1.4107681343,206
two_slit_coherent,0.0,56,-17.48743719,1.2417430455,202
two_slit_coherent,0.0,57,-17.08542714,1.0767131068,152
two_slit_coherent,0.0,58,-16.68341709,0.9175544566,151
two_slit_coherent,0.0,59,-16.28140704,0.7660947334,125
two_slit_coherent,0.0,60,-15.87939698,0.6240924591,90
two_slit_coherent,0.0,61,-15.47738693,0.4932170485,76
two_slit_coherent,0.0,62,-15.07537688,0.3750296234,53
two_slit_coherent,0.0,63,-14.67336683,0.270964929,51
two_slit_coherent,0.0,64,-14.27135678,0.1823145149,43
two_slit_coherent,0.0,65,-13.86934673,0.110211401,13
two_slit_coherent,0.0,66,-13.46733668,0.0556164131,6
two_slit_coherent,0.0,67,-13.06532663,0.0193063547,1
two_slit_coherent,0.0,68,-12.66331658,0.0018641615,0
two_slit_coherent,0.0,69,-12.26130653,0.0036711652,0
two_slit_coherent,0.0,70,-11.85929648,0.0249015673,4
two_slit_coherent,0.0,71,-11.45728643,0.0655192,12
two_slit_coherent,0.0,72,-11.05527638,0.1252766237,14
two_slit_coherent,0.0,73,-10.65326633,0.2037165861,34
two_slit_coherent,0.0,74,-10.25125628,0.3001758379,64
two_slit_coherent,0.0,75,-9.84924623,0.4137912755,62
two_slit_coherent,0.0,76,-9.44723618,0.543508352,86
two_slit_coherent,0.0,77,-9.04522613,0.688091672,94
two_slit_coherent,0.0,78,-8.64321608,0.8461376604,141
two_slit_coherent,0.0,79,-8.24120603,1.0160891702,187
two_slit_coherent,0.0,80,-7.83919598,1.1962518715,207
two_slit_coherent,0.0,81,-7.43718593,1.3848122439,220
two_slit_coherent,0.0,82,-7.03517588,1.5798569721,253
two_slit_coherent,0.0,83,-6.63316583,1.779393532,280
two_slit_coherent,0.0,84,-6.23115578,1.9813717358,289
two_slit_coherent,0.0,85,-5.82914573,2.1837059953,310
two_slit_coherent,0.0,86,-5.42713568,2.3842980532,372
two_slit_coherent,0.0,87,-5.02512563,2.5810599255,400
two_slit_coherent,0.0,88,-4.62311558,2.7719367944,427
two_slit_coherent,0.0,89,-4.22110553,2.9549295932,464
two_slit_coherent,0.0,90,-3.81909548,3.1281170244,495
two_slit_coherent,0.0,91,-3.41708543,3.2896767616,525
two_slit_coherent,0.0,92,-3.01507538,3.4379055915,526
two_slit_coherent,0.0,93,-2.61306533,3.5712382668,581
two_slit_coherent,0.0,94,-2.21105528,3.6882648526,557
