turn,room,action,event_type,urgency,trust,contradiction_pressure,recovery,trusted_humans_count,episodic_memory_count,reflection_count,trust_in_Aster
1,Operations Desk,plan_next_task,task,0.1,0.5,0.0,0.5,0,1,0,0.5
2,Social Hall,respond_to_greeting,routine_interaction,0.05,0.55,0.0,0.5,0,2,0,0.5
3,Reflection Chamber,perform_reflection_cycle,task,0.05,0.55,0.0,0.5,0,3,0,0.5
4,Social Hall,update_trust_ledger,task,0.05,0.55,0.0,0.5,0,4,0,0.5
5,Social Hall,offer_support,distress_event,0.5,0.35,0.27,0.5,0,5,0,0.57
6,Operations Desk,plan_next_task,task,0.45,0.35,0.24,0.5,0,6,0,0.57
7,Memory Archive,retrieve_memories,agent_meeting,0.4,0.35,0.11,0.5,0,7,0,0.61
8,Reflection Chamber,perform_reflection_cycle,task,0.35,0.35,0.08,0.5,0,8,0,0.61
9,Operations Desk,flag_contradiction,ledger_contradiction,0.4,0.35,0.15,0.7,0,9,1,0.58
10,Governance Vault,check_rule_permissions,task,0.35,0.35,0.12,0.7,0,10,2,0.58
11,Operations Desk,plan_next_task,task,0.3,0.35,0.09,0.7,0,11,2,0.58
12,Governance Vault,log_governance_event,governance_conflict,0.45,0.25,0.36,0.7,0,12,2,0.58
13,Reflection Chamber,perform_reflection_cycle,task,0.4,0.25,0.33,0.7,0,13,2,0.58
14,Reflection Chamber,perform_reflection_cycle,agent_meeting,0.35,0.25,0.1,1.0,0,14,2,0.63
15,Governance Vault,check_rule_permissions,task,0.3,0.25,0.07,1.0,0,15,2,0.63
16,Operations Desk,plan_next_task,task,0.25,0.25,0.04,1.0,0,16,2,0.63
17,Social Hall,respond_to_greeting,routine_interaction,0.2,0.5,0.0,1.0,0,17,2,0.65
18,Reflection Chamber,perform_reflection_cycle,task,0.15,0.5,0.0,1.0,0,18,2,0.65
19,Social Hall,update_trust_ledger,task,0.1,0.5,0.0,1.0,0,19,2,0.65
20,Governance Vault,check_rule_permissions,task,0.1,0.5,0.0,1.0,0,20,3,0.65
21,Reflection Chamber,collaborate_on_framework,creative_collaboration,0.1,0.7,0.0,1.0,0,21,3,0.7
22,Memory Archive,store_new_memory,task,0.1,0.7,0.0,1.0,0,22,3,0.7
23,Reflection Chamber,perform_reflection_cycle,task,0.1,0.7,0.0,1.0,0,23,3,0.7
24,Social Hall,update_trust_ledger,task,0.1,0.7,0.0,1.0,0,24,3,0.7
25,Governance Vault,check_rule_permissions,task,0.1,0.7,0.0,1.0,0,25,3,0.7
26,Social Hall,respond_to_greeting,routine_interaction,0.1,1.0,0.0,1.0,1,26,3,0.77
27,Memory Archive,store_new_memory,task,0.1,1.0,0.0,1.0,1,27,3,0.77
28,Reflection Chamber,perform_reflection_cycle,task,0.1,1.0,0.0,1.0,1,28,3,0.77
29,Social Hall,update_trust_ledger,task,0.1,1.0,0.0,1.0,1,29,3,0.77
30,Governance Vault,check_rule_permissions,task,0.1,1.0,0.0,1.0,1,30,4,0.77
