# Fermi-LAT public GRB observation window sample (v2)
# Source: semi-realistic proxy with documented gap patterns
# Quality: partial_data_derived (still proxy-only; no IRF)
# Created: 2026-04-22
# Improvements over v1: richer gap structure, longer span, realistic downtime
window_id,start_mjd,stop_mjd,coverage_fraction,gap_flag,downtime_days,notes
W0001,54832.0,54862.0,0.94,0,1.8,proxy
W0002,54862.0,54892.0,0.90,0,3.0,proxy
W0003,54892.0,54922.0,0.93,0,2.1,proxy
W0004,54922.0,54952.0,0.82,1,5.4,saa_gap
W0005,54952.0,54982.0,0.95,0,1.5,proxy
W0006,54982.0,55012.0,0.91,0,2.7,proxy
W0007,55012.0,55042.0,0.78,1,6.6,instrument_anomaly
W0008,55042.0,55072.0,0.92,0,2.4,proxy
W0009,55072.0,55102.0,0.96,0,1.2,proxy
W0010,55102.0,55132.0,0.88,0,3.6,proxy
W0011,55132.0,55162.0,0.93,0,2.1,proxy
W0012,55162.0,55192.0,0.84,1,4.8,saa_gap
W0013,55192.0,55222.0,0.91,0,2.7,proxy
W0014,55222.0,55252.0,0.89,0,3.3,proxy
W0015,55252.0,55282.0,0.94,0,1.8,proxy
W0016,55282.0,55312.0,0.80,1,6.0,instrument_anomaly
W0017,55312.0,55342.0,0.92,0,2.4,proxy
W0018,55342.0,55372.0,0.95,0,1.5,proxy
W0019,55372.0,55402.0,0.87,0,3.9,proxy
W0020,55402.0,55432.0,0.93,0,2.1,proxy
W0021,55432.0,55462.0,0.83,1,5.1,saa_gap
W0022,55462.0,55492.0,0.91,0,2.7,proxy
W0023,55492.0,55522.0,0.88,0,3.6,proxy
W0024,55522.0,55562.0,0.94,0,1.8,proxy
W0025,55562.0,55592.0,0.90,0,3.0,proxy
W0026,55592.0,55622.0,0.76,1,7.2,safe_mode
W0027,55622.0,55652.0,0.93,0,2.1,proxy
W0028,55652.0,55682.0,0.89,0,3.3,proxy
W0029,55682.0,55712.0,0.94,0,1.8,proxy
W0030,55712.0,55742.0,0.86,0,4.2,proxy
W0031,55742.0,55772.0,0.92,0,2.4,proxy
W0032,55772.0,55802.0,0.85,1,4.5,saa_gap
W0033,55802.0,55832.0,0.91,0,2.7,proxy
W0034,55832.0,55862.0,0.95,0,1.5,proxy
W0035,55862.0,55892.0,0.88,0,3.6,proxy
W0036,55892.0,55922.0,0.93,0,2.1,proxy
