event_id,energy,arrival_time,ra,dec,instrument,epoch
SYNTH_00000,0.668479,58223.210738,9.003872,16.191796,EXAMPLE-A,epoch_1
SYNTH_00001,47.48306,58086.938833,243.611815,28.225466,EXAMPLE-B,epoch_2
SYNTH_00002,0.452808,58505.355288,19.60085304170748,1.1097084164098447,EXAMPLE-C,epoch_3
SYNTH_00003,8.905398,58544.941481,60.81777535891839,-30.25019900384227,EXAMPLE-A,epoch_1
SYNTH_00004,26.809664,58006.49876,212.135646,-33.994876,EXAMPLE-B,epoch_2
SYNTH_00005,1.048942,58155.4795,152.99384570909876,34.03442836241294,EXAMPLE-C,epoch_3
SYNTH_00006,0.189774,58096.716377,51.99941239106667,33.31936349022639,EXAMPLE-A,epoch_1
SYNTH_00007,26.386684,58729.731787,168.76905049647038,40.073171488177394,EXAMPLE-B,epoch_2
SYNTH_00008,1.36648,58552.040631,350.321675,4.155075,EXAMPLE-C,epoch_3
SYNTH_00009,38.469868,58577.352145,222.667111,41.209129,EXAMPLE-A,epoch_1
SYNTH_00010,0.482719,58289.387964,42.42747749753158,29.47211063460667,EXAMPLE-B,epoch_2
SYNTH_00011,0.200911,58277.973603,83.804719,-57.184079,EXAMPLE-C,epoch_3
SYNTH_00012,1.289861,58209.507031,131.339584,15.74574,EXAMPLE-A,epoch_1
SYNTH_00013,8.792374,58609.131006,337.195652,-27.777832,EXAMPLE-B,epoch_2
SYNTH_00014,0.309177,58379.455442,103.75771702850479,10.783898375411173,EXAMPLE-C,epoch_3
SYNTH_00015,4.686507,58684.614251,230.399914,78.250346,EXAMPLE-A,epoch_1
SYNTH_00016,0.486569,58032.100244,279.359968,43.290985,EXAMPLE-B,epoch_2
SYNTH_00017,0.429486,58942.909714,91.21201072083518,-16.457548068593862,EXAMPLE-C,epoch_3
SYNTH_00018,9.253712,58395.631901,71.57020830254542,37.326170646645735,EXAMPLE-A,epoch_1
SYNTH_00019,0.623219,58246.627508,165.186667,56.005903,EXAMPLE-B,epoch_2
SYNTH_00020,5.672284,58897.822884,94.586979,7.050047,EXAMPLE-C,epoch_3
SYNTH_00021,98.313423,58509.526294,49.57346511091813,24.395939254898778,EXAMPLE-A,epoch_1
SYNTH_00022,0.213279,58627.446042,39.53334974171296,13.446251275643283,EXAMPLE-B,epoch_2
SYNTH_00023,0.15509,58381.619287,150.47544078503407,35.66293037177195,EXAMPLE-C,epoch_3
SYNTH_00024,81.890804,58860.779702,190.481164,82.858781,EXAMPLE-A,epoch_1
SYNTH_00025,11.095097,58536.97033,82.56372080331164,11.136162931506519,EXAMPLE-B,epoch_2
SYNTH_00026,0.216101,58434.765251,230.746247,-27.797602,EXAMPLE-C,epoch_3
SYNTH_00027,42.418843,58263.389051,196.1030629629877,12.117994927221451,EXAMPLE-A,epoch_1
SYNTH_00028,54.686927,58870.51857,64.314677,0.067164,EXAMPLE-B,epoch_2
SYNTH_00029,6.712907,58152.839269,169.85191558294642,-6.285630598988027,EXAMPLE-C,epoch_3
SYNTH_00030,21.671024,58530.353672,194.176451,31.669697,EXAMPLE-A,epoch_1
SYNTH_00031,0.114401,58929.098616,76.00782822101625,-20.71341203173698,EXAMPLE-B,epoch_2
SYNTH_00032,0.836647,58057.925166,53.2577470501499,30.624504810177825,EXAMPLE-C,epoch_3
SYNTH_00033,0.180701,58485.990463,340.9018,49.114505,EXAMPLE-A,epoch_1
SYNTH_00034,19.838247,58128.391464,255.4094259147904,-52.294473407065986,EXAMPLE-B,epoch_2
SYNTH_00035,0.623979,58872.433041,120.25029014542224,13.84392676909452,EXAMPLE-C,epoch_3
SYNTH_00036,4.148473,58729.931069,76.247354,-8.842807,EXAMPLE-A,epoch_1
SYNTH_00037,96.704809,58649.878058,75.16285767336356,0.06719325011770039,EXAMPLE-B,epoch_2
SYNTH_00038,0.230681,58224.697337,186.327303,-7.111453,EXAMPLE-C,epoch_3
SYNTH_00039,0.490167,58220.217384,75.94528319388078,20.92842444362536,EXAMPLE-A,epoch_1
SYNTH_00040,0.486212,58905.420013,51.58851078970591,26.778220494230705,EXAMPLE-B,epoch_2
SYNTH_00041,0.517623,58668.977778,25.508646,45.994309,EXAMPLE-C,epoch_3
SYNTH_00042,64.053479,58571.043093,46.46093651576185,-5.9961990899298385,EXAMPLE-A,epoch_1
SYNTH_00043,26.453978,58190.409914,191.06321486820215,9.619787581676878,EXAMPLE-B,epoch_2
SYNTH_00044,1.865245,58467.024668,123.1903784039009,-29.413853927469283,EXAMPLE-C,epoch_3
SYNTH_00045,89.638717,58098.417871,205.5487298426444,27.77806699722889,EXAMPLE-A,epoch_1
SYNTH_00046,38.460738,58248.656334,122.148938,-11.230554,EXAMPLE-B,epoch_2
SYNTH_00047,1.843508,58278.545145,161.500877,-38.28563,EXAMPLE-C,epoch_3
SYNTH_00048,2.134972,58861.349105,306.56228486960975,-24.633851567076718,EXAMPLE-A,epoch_1
SYNTH_00049,99.505573,58836.027585,18.211799,5.776638,EXAMPLE-B,epoch_2
SYNTH_00050,35.163104,58166.311111,333.492114,69.717113,EXAMPLE-C,epoch_3
SYNTH_00051,1.596323,58058.6354,76.949028,-1.645632,EXAMPLE-A,epoch_1
SYNTH_00052,0.62461,58784.070602,354.711184,-14.007787,EXAMPLE-B,epoch_2
SYNTH_00053,74.465125,58995.422689,152.282695,-5.162644,EXAMPLE-C,epoch_3
SYNTH_00054,0.291334,58296.707825,258.626979,6.403904,EXAMPLE-A,epoch_1
SYNTH_00055,4.232389,58747.97556,144.52608147951244,54.118364945131184,EXAMPLE-B,epoch_2
SYNTH_00056,3.225159,58852.719892,210.303934,-62.334017,EXAMPLE-C,epoch_3
SYNTH_00057,0.173914,58185.824961,101.67723047452256,16.202520781193975,EXAMPLE-A,epoch_1
SYNTH_00058,0.507705,58119.886614,243.076519,10.956882,EXAMPLE-B,epoch_2
SYNTH_00059,6.075156,58619.38151,88.637525,51.313218,EXAMPLE-C,epoch_3
SYNTH_00060,3.701248,58934.706258,53.29492580780883,28.02591600044222,EXAMPLE-A,epoch_1
SYNTH_00061,0.520065,58395.785847,161.93613095176875,-6.40690720564915,EXAMPLE-B,epoch_2
SYNTH_00062,0.888243,58751.864492,107.998949,20.082963,EXAMPLE-C,epoch_3
SYNTH_00063,98.938045,58996.096448,164.982788,-58.75021,EXAMPLE-A,epoch_1
SYNTH_00064,0.624599,58933.259378,76.735552,-58.592057,EXAMPLE-B,epoch_2
SYNTH_00065,1.284048,58157.746832,316.537287,49.616803,EXAMPLE-C,epoch_3
SYNTH_00066,6.839641,58987.233064,125.64735601265252,34.59766975327855,EXAMPLE-A,epoch_1
SYNTH_00067,28.269128,58299.378752,29.39825339091598,25.538056830931453,EXAMPLE-B,epoch_2
SYNTH_00068,0.252856,58115.42867,338.014801,19.073295,EXAMPLE-C,epoch_3
SYNTH_00069,0.656213,58604.829827,86.39375893189109,8.034047969124021,EXAMPLE-A,epoch_1
SYNTH_00070,7.993075,58263.983902,67.05709405458762,26.72560061195466,EXAMPLE-B,epoch_2
SYNTH_00071,34.53911,58092.298468,325.921137,-1.314268,EXAMPLE-C,epoch_3
SYNTH_00072,0.10248,58771.119223,55.05204345743801,22.858894397692097,EXAMPLE-A,epoch_1
SYNTH_00073,16.737582,58551.680421,87.08785057666759,17.97726088570871,EXAMPLE-B,epoch_2
SYNTH_00074,0.168163,58883.106393,3.481092,-8.315632,EXAMPLE-C,epoch_3
SYNTH_00075,31.899587,58582.509566,109.52201040919611,40.17910203580971,EXAMPLE-A,epoch_1
SYNTH_00076,0.840959,58898.981489,45.880387,-44.733682,EXAMPLE-B,epoch_2
SYNTH_00077,49.747803,58210.076538,129.59690411472795,32.01754437068147,EXAMPLE-C,epoch_3
SYNTH_00078,21.89519,58884.134701,42.08208123980553,8.077275529080024,EXAMPLE-A,epoch_1
SYNTH_00079,0.290844,58929.881016,223.438144,-10.792062,EXAMPLE-B,epoch_2
SYNTH_00080,27.059213,58881.416205,231.55424057555047,40.240054374550844,EXAMPLE-C,epoch_3
SYNTH_00081,0.992102,58930.815886,49.28951673504875,28.014964396451223,EXAMPLE-A,epoch_1
SYNTH_00082,27.055026,58266.80571,305.3063741966172,37.03515063458066,EXAMPLE-B,epoch_2
SYNTH_00083,41.352365,58858.593251,38.914426,35.082058,EXAMPLE-C,epoch_3
SYNTH_00084,2.403863,58305.190867,263.12485296474557,-25.82526520273053,EXAMPLE-A,epoch_1
SYNTH_00085,0.117759,58193.129788,52.3593001518873,31.23657841621312,EXAMPLE-B,epoch_2
SYNTH_00086,79.554969,58279.124993,311.167059,-20.088799,EXAMPLE-C,epoch_3
SYNTH_00087,87.790811,58536.215732,101.79723263488788,22.20975667266582,EXAMPLE-A,epoch_1
SYNTH_00088,81.5083,58178.567816,42.4267643992931,53.28207731587198,EXAMPLE-B,epoch_2
SYNTH_00089,0.21145,58434.563759,62.85422171427087,43.303381998486515,EXAMPLE-C,epoch_3
SYNTH_00090,6.586073,58511.42306,100.67594996958704,27.7044778241876,EXAMPLE-A,epoch_1
SYNTH_00091,0.580988,58708.785284,201.16983280295435,-11.56998442751589,EXAMPLE-B,epoch_2
SYNTH_00092,4.124355,58719.429999,48.39071319802521,28.643676473258413,EXAMPLE-C,epoch_3
SYNTH_00093,1.23784,58069.973811,170.99658444307835,29.320350213613022,EXAMPLE-A,epoch_1
SYNTH_00094,0.874474,58848.01528,118.872013,19.176263,EXAMPLE-B,epoch_2
SYNTH_00095,0.846943,58408.392909,108.116017,26.072527,EXAMPLE-C,epoch_3
SYNTH_00096,0.240915,58420.446334,106.435873,-11.256362,EXAMPLE-A,epoch_1
SYNTH_00097,51.099498,58615.514916,110.09033676785643,40.38718922841911,EXAMPLE-B,epoch_2
SYNTH_00098,0.100281,58286.913717,197.257397,-23.45947,EXAMPLE-C,epoch_3
SYNTH_00099,9.206973,58464.98819,98.03637364133802,17.67598378604572,EXAMPLE-A,epoch_1
SYNTH_00100,2.627596,58901.180826,76.932504,-6.642871,EXAMPLE-B,epoch_2
SYNTH_00101,0.179633,58515.45201,57.05561871491375,34.72260598641908,EXAMPLE-C,epoch_3
SYNTH_00102,28.527939,58751.138138,87.19885454565777,21.868576673140442,EXAMPLE-A,epoch_1
SYNTH_00103,0.395722,58024.425388,63.95313452023049,24.83138591626423,EXAMPLE-B,epoch_2
SYNTH_00104,35.417107,58072.828229,99.31294449023387,3.851689328384955,EXAMPLE-C,epoch_3
