event_id,ra,dec,energy,arrival_time,instrument,t90_s
bn120403857,55.3384,-89.0093,2.3964e-07,56020.8569,Fermi-GBM,4.288
bn120227725,256.73,-88.86,2.1949e-05,55984.7255,Fermi-GBM,17.408
bn230524357,13.08,-87.77,1.4201e-06,60088.3573,Fermi-GBM,11.008
bn141205018,294.61,-87.58,1.6031e-06,56996.0177,Fermi-GBM,13.056
bn180630467,48.9589,-87.4785,2.988e-06,58299.4666,Fermi-GBM,12.032
bn170116238,72.94,-87.43,1.1231e-06,57769.2384,Fermi-GBM,9.216
bn250330255,252.952,-86.8797,1.4825e-06,60764.2553,Fermi-GBM,4.8
bn250926827,13.64,-86.18,3.6552e-06,60944.8267,Fermi-GBM,24.256
bn091026550,276.573,-86.1115,1.3765e-06,55130.5497,Fermi-GBM,8.96
bn230428381,121.75,-86.06,3.4407e-07,60062.3812,Fermi-GBM,4.352
bn220315101,236.09,-76.82,4.1031e-07,59653.1014,Fermi-GBM,0.768
bn140110411,50.64,-69.29,4.5951e-08,56667.4112,Fermi-GBM,0.768
bn150312403,285.49,-86.0,1.4018e-07,57093.4033,Fermi-GBM,0.32
bn251018723,245.91,-85.95,9.7787e-08,60966.7234,Fermi-GBM,0.32
bn110520302,71.01,-85.93,1.0428e-06,55701.3017,Fermi-GBM,12.288
bn231224868,102.29,-71.17,2.3693e-07,60302.8675,Fermi-GBM,0.832
bn121216419,13.88,-85.44,3.8503e-07,56277.4189,Fermi-GBM,9.216
bn251114860,160.08,-85.15,1.7785e-06,60993.8601,Fermi-GBM,7.936
bn200107810,107.066,-83.716,4.0811e-06,58855.81,Fermi-GBM,81.154
bn240119729,152.67,-83.61,1.5373e-06,60328.7286,Fermi-GBM,0.832
bn101227195,186.79,-83.55,3.4308e-06,55557.1948,Fermi-GBM,95.488
bn220430900,9.01,-83.38,6.8001e-07,59699.9,Fermi-GBM,30.464
bn200607921,41.33,-83.33,1.1548e-05,59007.9212,Fermi-GBM,26.625
bn250725077,35.385,-82.784,1.0722e-05,60881.0775,Fermi-GBM,9.472
bn160326062,188.15,-82.69,1.852e-06,57473.062,Fermi-GBM,19.456
bn230426853,38.53,-82.4,5.2286e-05,60060.8535,Fermi-GBM,25.856
bn250412754,349.84,-81.67,1.1293e-06,60777.7542,Fermi-GBM,11.008
bn231129799,11.91,-81.636,7.8699e-05,60277.7988,Fermi-GBM,5.824
bn220413167,249.08,-81.55,3.7194e-08,59682.1674,Fermi-GBM,0.512
bn101116481,32.0,-81.2,3.0435e-07,55516.4809,Fermi-GBM,0.576
bn250720790,92.04,-80.65,3.0818e-07,60876.7897,Fermi-GBM,1.024
bn220921473,94.33,-80.59,2.3189e-06,59843.4732,Fermi-GBM,44.288
bn170130697,296.39,-80.45,1.3192e-06,57783.6967,Fermi-GBM,29.184
bn110205027,359.73,-80.44,4.5134e-07,55597.0271,Fermi-GBM,5.376
bn110825265,251.31,-80.28,2.0912e-06,55798.2654,Fermi-GBM,48.128
bn160919613,266.15,-80.21,5.5262e-06,57650.6134,Fermi-GBM,62.465
bn120830212,337.87,-80.04,7.5151e-06,56169.2117,Fermi-GBM,16.064
bn140323433,356.959,-79.905,3.2424e-05,56739.4326,Fermi-GBM,111.426
bn220415645,298.38,-79.82,2.895e-06,59684.6451,Fermi-GBM,23.04
