time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.05,"(2.4264521071425585e-08, 0.0824999999999989)","(-0.011489319196683459, 0.07607493613384589)","(2.696057896825065e-07, 1.6499999999999777)","(0.04432471009608432, 1.640165715006447)",1.5707961633974483,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.386473324593851e-06, 8.485281374238458)",101,proportional,anisotropic_preferred_axis,0.785398
0.1,"(0.00020294700436110981, 0.18562492297943056)","(-0.02868715280719984, 0.1916762079436524)","(0.00225469710933376, 2.062498459588633)","(0.005385050688091482, 2.076308297076921)",1.5697031399366532,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.011490705670008053, 8.409206438104611)",101,proportional,anisotropic_preferred_axis,0.785398
0.15000000000000002,"(0.0007673532875689701, 0.2939056601526283)","(-0.006593903602160571, 0.32372235161238466)","(0.00627118092453178, 2.1656147434639546)","(0.018741647702484123, 2.2173813655843237)",1.5679005377750552,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.028688539280524433, 8.293605166294805)",101,proportional,anisotropic_preferred_axis,0.785398
0.2,"(0.0010284564724882977, 0.4034758175091718)","(0.012876772553031986, 0.4090835699628897)","(0.0029011464991036398, 2.1914031471308695)","(0.0319781750758599, 2.2095660599150473)",1.569472451355543,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.006595290075485165, 8.161559022626072)",101,proportional,anisotropic_preferred_axis,0.785398
0.25,"(0.0008569881411697493, 0.5133682520076464)","(-0.01424470385053222, 0.530172561619493)","(-0.0019052036813172037, 2.197848689969491)","(-0.015002669993073158, 2.2231484874647958)",1.5716631759154955,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.012875386079707393, 8.076197804275568)",101,proportional,anisotropic_preferred_axis,0.785398
0.3,"(0.0010800559525892283, 0.6233412283437789)","(-0.01017117876071436, 0.6311023675046264)","(0.0024785312379942133, 2.1994595267226504)","(-0.012943975912863198, 2.2066985843023836)",1.569669445322994,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.014246090323856814, 7.955108812618965)",101,proportional,anisotropic_preferred_axis,0.785398
0.35,"(0.0013281567787786536, 0.7333344032315263)","(0.029904972051195137, 0.7572179015458488)","(0.0027566758465491707, 2.1998634977549485)","(-0.009809017529835266, 2.173095896631501)",1.569543215223912,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.010172565234038955, 7.8541790067338315)",101,proportional,anisotropic_preferred_axis,0.785398
0.39999999999999997,"(0.0008155685353344521, 0.8433320793293464)","(0.015632284503187613, 0.8298408092371234)","(-0.005695424927157793, 2.1999535219564015)","(-0.020919138134111195, 2.214379999633988)",1.5733852052171802,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.029903585577870543, 7.728063472692609)",101,proportional,anisotropic_preferred_axis,0.785398
0.44999999999999996,"(0.00038421442854665673, 0.9533313263848368)","(-0.024164673941859532, 0.9701153939541871)","(-0.004792823408753282, 2.199984941109807)","(0.017527963446527222, 2.2008996580810156)",1.57297489435538,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.01563089802986302, 7.655440565001334)",101,proportional,anisotropic_preferred_axis,0.785398
0.49999999999999994,"(0.0007538958165451816, 1.0633307116132467)","(-0.017215819267452425, 1.0593040961179923)","(0.004107570977761387, 2.199987704568197)","(0.03504669267371402, 2.2042653523930875)",1.5689292408124524,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.024166060415184126, 7.51516598028427)",101,proportional,anisotropic_preferred_axis,0.785398
0.5499999999999999,"(0.001190614036386385, 1.173330336182256)","(0.026929801940144018, 1.174859430653595)","(0.004852424664902259, 2.199992491380188)","(0.007879818600163537, 2.204350290019914)",1.5685906752687844,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.01721720574077702, 7.425977278120465)",101,proportional,anisotropic_preferred_axis,0.785398
0.6,"(0.0007527878783629267, 1.2833296826233018)","(0.003857820657671179, 1.2900198512332075)","(-0.004864735089149537, 2.199986928820916)","(0.012883126803622882, 2.2246612799936902)",1.5730075795512126,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.026928415466819424, 7.3104219435848625)",101,proportional,anisotropic_preferred_axis,0.785398
0.65,"(0.0005637400144431123, 1.3933295073839946)","(-0.002019865552393687, 1.3745187997968027)","(-0.002100531821331271, 2.199996495213857)","(-0.015171206539513014, 2.181426425550971)",1.571751115217335,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.003856434184346585, 7.19526152300525)",101,proportional,anisotropic_preferred_axis,0.785398
0.7000000000000001,"(0.0005586895427368952, 1.5033294602411893)","(-0.04029693111390088, 1.5037269225924352)","(-5.6116352291301155e-05, 2.199999057143895)","(-0.015233091803587782, 2.2374393790735954)",1.5708218342386826,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.0020212520257182807, 7.1107625744416545)",101,proportional,anisotropic_preferred_axis,0.785398
0.7500000000000001,"(0.0014145713494983967, 1.613328074151926)","(-0.009560928359198822, 1.5850477949810122)","(0.009509797852905573, 2.1999722782147355)","(0.017885157523584216, 2.2002854166341415)",1.5664736638615968,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.04029831758722548, 6.981554451646023)",101,proportional,anisotropic_preferred_axis,0.785398
0.8000000000000002,"(0.001834332282454707, 1.7233276484119848)","(0.019887016889612853, 1.7270062364192027)","(0.004664010366181226, 2.199991485201177)","(0.04318628731842143, 2.1864221978106424)",1.5686763170538685,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.009562314832523415, 6.900233579257446)",101,proportional,anisotropic_preferred_axis,0.785398
0.8500000000000002,"(0.001502326213066682, 1.8333271848455281)","(0.00681751915680563, 1.8247837263193725)","(-0.0036889563265336115, 2.1999907286708664)","(-0.013168099801664411, 2.1668000858261887)",1.5724731306200583,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.01988563041628826, 6.758275137819255)",101,proportional,anisotropic_preferred_axis,0.785398
0.9000000000000002,"(0.0012673547939229914, 1.9433270257536575)","(0.014165232756010808, 1.9103009803771545)","(-0.0026107935460410064, 2.199996818162588)","(0.0053727095928504075, 2.2096863017149166)",1.57198305229326,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.0068161326834810364, 6.660497647919085)",101,proportional,anisotropic_preferred_axis,0.785398
0.9500000000000003,"(0.0008887134502217806, 2.0533267945568925)","(0.009540985996797837, 2.0217462853167936)","(-0.004207126041124564, 2.199995376064705)","(0.012764669828475204, 2.186389544523198)",1.572708658501768,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.014163846282686214, 6.574980393861303)",101,proportional,anisotropic_preferred_axis,0.785398
1.0000000000000002,"(0.0005748806387366575, 2.163326646902482)","(0.009000445907059753, 2.156318183363704)","(-0.0034870312387235898, 2.1999970469117915)","(0.03656674013307803, 2.188937660736279)",1.572381341794573,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.009539599523473243, 6.463535088921664)",101,proportional,anisotropic_preferred_axis,0.785398
1.0500000000000003,"(0.00028527268910430535, 2.2733265265915015)","(-0.003625414875767622, 2.2797030971061742)","(-0.0032178661070261347, 2.199997593780395)","(-0.03238311380434789, 2.1908167993348275)",1.5722589937638793,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.008999059433735159, 6.328963190874754)",101,proportional,anisotropic_preferred_axis,0.785398
