event_id,energy,arrival_time,ra,dec,instrument,epoch
GRB 041217,2.7e-06,,164.79,-17.944,Swift-BAT,swift_bat3_grb_catalog
GRB 041218,0.0,,24.781667,71.341667,Swift-BAT,swift_bat3_grb_catalog
GRB 041219A,0.0,,6.115,62.84247,Swift-BAT,swift_bat3_grb_catalog
GRB 041219B,0.0,,167.674,-33.458,Swift-BAT,swift_bat3_grb_catalog
GRB 041219C,1.14e-06,,343.882,-76.786,Swift-BAT,swift_bat3_grb_catalog
GRB 041220,3.66e-07,,291.301,60.596,Swift-BAT,swift_bat3_grb_catalog
GRB 041223,1.7e-05,,100.19721,-37.073094,Swift-BAT,swift_bat3_grb_catalog
GRB 041224,8.53e-06,,56.192,-6.666,Swift-BAT,swift_bat3_grb_catalog
GRB 041226,3.1e-07,,79.647,73.343,Swift-BAT,swift_bat3_grb_catalog
GRB 041228,3.45e-06,,336.649,5.027,Swift-BAT,swift_bat3_grb_catalog
GRB 050117,8.67e-06,,358.46874,65.93879,Swift-BAT,swift_bat3_grb_catalog
GRB 050124,1.18e-06,,192.87792,13.045,Swift-BAT,swift_bat3_grb_catalog
GRB 050126,8.8e-07,,278.11321,42.37044,Swift-BAT,swift_bat3_grb_catalog
GRB 050128,5.11e-06,,219.573583,-34.765194,Swift-BAT,swift_bat3_grb_catalog
GRB 050202,3.16e-08,,290.583,-38.733,Swift-BAT,swift_bat3_grb_catalog
GRB 050209,0.0,,126.5375,19.68389,Swift-BAT,swift_bat3_grb_catalog
GRB 050215A,6.39e-07,,348.411,49.322,Swift-BAT,swift_bat3_grb_catalog
GRB 050215B,2.35e-07,,174.44958,40.796,Swift-BAT,swift_bat3_grb_catalog
GRB 050219A,4.08e-06,,166.412417,-40.684194,Swift-BAT,swift_bat3_grb_catalog
GRB 050219B,1.58e-05,,81.31662,-57.75797,Swift-BAT,swift_bat3_grb_catalog
GRB 050223,6.46e-07,,271.38538,-62.47252,Swift-BAT,swift_bat3_grb_catalog
GRB 050306,1.14e-05,,282.31033,-9.15278,Swift-BAT,swift_bat3_grb_catalog
GRB 050315,3.17e-06,,306.47542,-42.60061,Swift-BAT,swift_bat3_grb_catalog
GRB 050318,0.0,,49.7125,-46.39556,Swift-BAT,swift_bat3_grb_catalog
GRB 050319,1.33e-06,,154.19958,43.54847,Swift-BAT,swift_bat3_grb_catalog
GRB 050326,8.84e-06,,6.95458,-71.37119,Swift-BAT,swift_bat3_grb_catalog
GRB 050401,8.31e-06,,247.87004,2.18728,Swift-BAT,swift_bat3_grb_catalog
GRB 050406,6.7e-08,,34.46792,-50.1875,Swift-BAT,swift_bat3_grb_catalog
GRB 050408,0.0,,180.57212,10.85261,Swift-BAT,swift_bat3_grb_catalog
GRB 050410,4.35e-06,,89.808792,79.603444,Swift-BAT,swift_bat3_grb_catalog
GRB 050412,6.29e-07,,181.105333,-1.200167,Swift-BAT,swift_bat3_grb_catalog
GRB 050416A,4.07e-07,,188.4775,21.05742,Swift-BAT,swift_bat3_grb_catalog
GRB 050416B,1.11e-06,,133.847,11.186,Swift-BAT,swift_bat3_grb_catalog
GRB 050418,5.11e-06,,44.339,-18.542,Swift-BAT,swift_bat3_grb_catalog
GRB 050421,1.43e-07,,307.261458,73.654917,Swift-BAT,swift_bat3_grb_catalog
GRB 050422,5.96e-07,,324.477958,55.779167,Swift-BAT,swift_bat3_grb_catalog
GRB 050502A,0.0,,202.44292,42.67436,Swift-BAT,swift_bat3_grb_catalog
GRB 050502B,4.71e-07,,142.541767,16.996686,Swift-BAT,swift_bat3_grb_catalog
GRB 050504,0.0,,201.005167,40.704194,Swift-BAT,swift_bat3_grb_catalog
GRB 050505,2.51e-06,,141.76375,30.27325,Swift-BAT,swift_bat3_grb_catalog
