event_id,energy,arrival_time,ra,dec,instrument,epoch
HESE_001,30.2,,261.73,-13.15,IceCube,shower
HESE_002,117.1,,331.11,-20.35,IceCube,shower
HESE_003,78.8,,127.93,-31.21,IceCube,shower
HESE_004,165.4,,169.23,-27.17,IceCube,shower
HESE_005,71.4,,110.63,-7.69,IceCube,shower
HESE_006,28.4,,348.33,18.27,IceCube,shower
HESE_007,34.3,,114.56,11.53,IceCube,shower
HESE_008,28.9,,178.87,-6.88,IceCube,shower
HESE_009,63.2,,349.21,-18.74,IceCube,shower
HESE_010,97.2,,15.55,-41.12,IceCube,shower
HESE_011,88.4,,85.8,-2.72,IceCube,shower
HESE_012,104.1,,207.2,-24.41,IceCube,shower
HESE_013,253.3,,91.01,14.08,IceCube,shower
HESE_014,401.0,,265.61,-22.15,IceCube,shower
HESE_015,57.5,,287.54,-48.92,IceCube,shower
HESE_016,30.6,,259.88,33.56,IceCube,shower
HESE_017,200.5,,156.35,-23.17,IceCube,shower
HESE_018,41.0,,86.88,-3.91,IceCube,track
HESE_019,71.5,,265.26,-25.19,IceCube,shower
HESE_020,1040.7,,1.24,14.45,IceCube,shower
HESE_021,30.9,,290.8,18.27,IceCube,shower
HESE_022,220.1,,52.27,30.23,IceCube,shower
HESE_023,82.0,,344.92,-16.25,IceCube,shower
HESE_024,30.6,,163.35,-7.96,IceCube,shower
HESE_025,33.5,,202.99,-12.03,IceCube,shower
HESE_026,210.0,,155.65,11.79,IceCube,shower
HESE_027,56.0,,41.08,-10.27,IceCube,shower
HESE_028,46.1,,103.71,-13.64,IceCube,shower
HESE_029,56.5,,176.21,-8.53,IceCube,shower
HESE_030,73.7,,239.76,-23.26,IceCube,shower
HESE_031,234.3,,28.91,-16.42,IceCube,shower
HESE_032,28.6,,316.02,-4.33,IceCube,shower
HESE_033,385.0,,135.23,22.13,IceCube,shower
HESE_034,81.7,,225.67,-4.61,IceCube,shower
HESE_035,114.8,,110.5,-53.82,IceCube,shower
HESE_036,43.6,,319.82,10.91,IceCube,shower
HESE_037,30.7,,124.54,-72.09,IceCube,shower
