event_id,energy,arrival_time,ra,dec,instrument,epoch
bn120403857,2.3964e-07,56020.8569,55.3384,-89.0093,Fermi-GBM,fermi_lat_grb_catalog
bn120227725,2.1949e-05,55984.7255,256.73,-88.86,Fermi-GBM,fermi_lat_grb_catalog
bn230524357,1.4201e-06,60088.3573,13.08,-87.77,Fermi-GBM,fermi_lat_grb_catalog
bn141205018,1.6031e-06,56996.0177,294.61,-87.58,Fermi-GBM,fermi_lat_grb_catalog
bn180630467,2.988e-06,58299.4666,48.9589,-87.4785,Fermi-GBM,fermi_lat_grb_catalog
bn170116238,1.1231e-06,57769.2384,72.94,-87.43,Fermi-GBM,fermi_lat_grb_catalog
bn250330255,1.4825e-06,60764.2553,252.952,-86.8797,Fermi-GBM,fermi_lat_grb_catalog
bn250926827,3.6552e-06,60944.8267,13.64,-86.18,Fermi-GBM,fermi_lat_grb_catalog
bn091026550,1.3765e-06,55130.5497,276.573,-86.1115,Fermi-GBM,fermi_lat_grb_catalog
bn230428381,3.4407e-07,60062.3812,121.75,-86.06,Fermi-GBM,fermi_lat_grb_catalog
bn220315101,4.1031e-07,59653.1014,236.09,-76.82,Fermi-GBM,fermi_lat_grb_catalog
bn140110411,4.5951e-08,56667.4112,50.64,-69.29,Fermi-GBM,fermi_lat_grb_catalog
bn150312403,1.4018e-07,57093.4033,285.49,-86.0,Fermi-GBM,fermi_lat_grb_catalog
bn251018723,9.7787e-08,60966.7234,245.91,-85.95,Fermi-GBM,fermi_lat_grb_catalog
bn110520302,1.0428e-06,55701.3017,71.01,-85.93,Fermi-GBM,fermi_lat_grb_catalog
bn231224868,2.3693e-07,60302.8675,102.29,-71.17,Fermi-GBM,fermi_lat_grb_catalog
bn121216419,3.8503e-07,56277.4189,13.88,-85.44,Fermi-GBM,fermi_lat_grb_catalog
bn251114860,1.7785e-06,60993.8601,160.08,-85.15,Fermi-GBM,fermi_lat_grb_catalog
bn200107810,4.0811e-06,58855.81,107.066,-83.716,Fermi-GBM,fermi_lat_grb_catalog
bn240119729,1.5373e-06,60328.7286,152.67,-83.61,Fermi-GBM,fermi_lat_grb_catalog
bn101227195,3.4308e-06,55557.1948,186.79,-83.55,Fermi-GBM,fermi_lat_grb_catalog
bn220430900,6.8001e-07,59699.9,9.01,-83.38,Fermi-GBM,fermi_lat_grb_catalog
bn200607921,1.1548e-05,59007.9212,41.33,-83.33,Fermi-GBM,fermi_lat_grb_catalog
bn250725077,1.0722e-05,60881.0775,35.385,-82.784,Fermi-GBM,fermi_lat_grb_catalog
bn160326062,1.852e-06,57473.062,188.15,-82.69,Fermi-GBM,fermi_lat_grb_catalog
bn230426853,5.2286e-05,60060.8535,38.53,-82.4,Fermi-GBM,fermi_lat_grb_catalog
bn250412754,1.1293e-06,60777.7542,349.84,-81.67,Fermi-GBM,fermi_lat_grb_catalog
bn231129799,7.8699e-05,60277.7988,11.91,-81.636,Fermi-GBM,fermi_lat_grb_catalog
bn220413167,3.7194e-08,59682.1674,249.08,-81.55,Fermi-GBM,fermi_lat_grb_catalog
bn101116481,3.0435e-07,55516.4809,32.0,-81.2,Fermi-GBM,fermi_lat_grb_catalog
bn250720790,3.0818e-07,60876.7897,92.04,-80.65,Fermi-GBM,fermi_lat_grb_catalog
bn220921473,2.3189e-06,59843.4732,94.33,-80.59,Fermi-GBM,fermi_lat_grb_catalog
bn170130697,1.3192e-06,57783.6967,296.39,-80.45,Fermi-GBM,fermi_lat_grb_catalog
bn110205027,4.5134e-07,55597.0271,359.73,-80.44,Fermi-GBM,fermi_lat_grb_catalog
bn110825265,2.0912e-06,55798.2654,251.31,-80.28,Fermi-GBM,fermi_lat_grb_catalog
bn160919613,5.5262e-06,57650.6134,266.15,-80.21,Fermi-GBM,fermi_lat_grb_catalog
bn120830212,7.5151e-06,56169.2117,337.87,-80.04,Fermi-GBM,fermi_lat_grb_catalog
bn140323433,3.2424e-05,56739.4326,356.959,-79.905,Fermi-GBM,fermi_lat_grb_catalog
bn220415645,2.895e-06,59684.6451,298.38,-79.82,Fermi-GBM,fermi_lat_grb_catalog
bn181007737,3.0597e-06,58398.7371,211.22,-79.69,Fermi-GBM,fermi_lat_grb_catalog
bn240112914,7.4339e-07,60321.9139,148.48,-79.38,Fermi-GBM,fermi_lat_grb_catalog
bn260316717,2.7393e-06,61115.7173,305.51,-79.32,Fermi-GBM,fermi_lat_grb_catalog
bn100325246,1.334e-06,55280.2463,209.14,-79.1,Fermi-GBM,fermi_lat_grb_catalog
bn100507577,9.9681e-06,55323.5773,2.9,-79.01,Fermi-GBM,fermi_lat_grb_catalog
bn200907957,4.0466e-05,59099.9566,34.5,-78.38,Fermi-GBM,fermi_lat_grb_catalog
bn171206122,1.5221e-06,58093.122,9.48,-78.2,Fermi-GBM,fermi_lat_grb_catalog
bn140518709,3.8053e-07,56795.7088,244.04,-77.86,Fermi-GBM,fermi_lat_grb_catalog
bn130623488,2.4645e-06,56466.488,20.723,-77.784,Fermi-GBM,fermi_lat_grb_catalog
bn231031144,9.1048e-07,60248.144,155.22,-77.51,Fermi-GBM,fermi_lat_grb_catalog
bn240421224,5.3114e-06,60421.2236,291.83,-77.36,Fermi-GBM,fermi_lat_grb_catalog
bn141004150,4.0962e-06,56934.1503,30.44,-77.3,Fermi-GBM,fermi_lat_grb_catalog
bn260109156,8.1333e-07,61049.1558,307.28,-68.98,Fermi-GBM,fermi_lat_grb_catalog
bn101024486,3.3282e-06,55493.4858,66.5064,-77.2648,Fermi-GBM,fermi_lat_grb_catalog
bn200119692,1.8743e-06,58867.6924,271.04,-77.14,Fermi-GBM,fermi_lat_grb_catalog
bn250821672,1.1284e-05,60908.6721,39.95,-77.13,Fermi-GBM,fermi_lat_grb_catalog
bn260323994,1.5275e-06,61122.9941,100.07,-77.13,Fermi-GBM,fermi_lat_grb_catalog
bn210919653,3.3071e-07,59476.6527,215.16,-77.1,Fermi-GBM,fermi_lat_grb_catalog
bn210826293,1.2052e-05,59452.2929,64.63,-77.07,Fermi-GBM,fermi_lat_grb_catalog
bn190628521,2.2606e-06,58662.5215,144.08,-77.07,Fermi-GBM,fermi_lat_grb_catalog
bn250606187,2.487e-06,60832.1866,30.41,-77.05,Fermi-GBM,fermi_lat_grb_catalog
bn110716018,1.3547e-06,55758.0176,329.68,-76.98,Fermi-GBM,fermi_lat_grb_catalog
bn110819665,3.0361e-06,55792.6652,139.49,-76.64,Fermi-GBM,fermi_lat_grb_catalog
bn190731943,8.8648e-05,58695.9433,339.94,-76.62,Fermi-GBM,fermi_lat_grb_catalog
bn130804023,1.6629e-06,56508.0231,280.03,-76.15,Fermi-GBM,fermi_lat_grb_catalog
bn240216456,2.2702e-06,60356.4563,46.68,-76.07,Fermi-GBM,fermi_lat_grb_catalog
bn161020759,2.9248e-05,57681.7592,66.09,-75.65,Fermi-GBM,fermi_lat_grb_catalog
bn230307656,0.0031475,60010.6556,60.8576,-75.3785,Fermi-GBM,fermi_lat_grb_catalog
bn251001112,4.8476e-06,60949.1118,224.44,-56.23,Fermi-GBM,fermi_lat_grb_catalog
bn090810659,9.3687e-06,55053.6591,168.93,-76.4,Fermi-GBM,fermi_lat_grb_catalog
bn180622273,2.0338e-06,58291.2727,201.56,-76.4,Fermi-GBM,fermi_lat_grb_catalog
bn160406570,4.6582e-06,57484.5698,208.48,-76.37,Fermi-GBM,fermi_lat_grb_catalog
bn120114433,1.4875e-07,55940.4331,263.23,-75.64,Fermi-GBM,fermi_lat_grb_catalog
bn170121067,1.7268e-06,57774.0673,3.03,-75.62,Fermi-GBM,fermi_lat_grb_catalog
bn170124874,8.9724e-06,57777.8737,282.04,-75.51,Fermi-GBM,fermi_lat_grb_catalog
bn190806675,1.3501e-05,58701.6754,121.13,-75.36,Fermi-GBM,fermi_lat_grb_catalog
bn180614327,4.126e-07,58283.3271,52.22,-75.17,Fermi-GBM,fermi_lat_grb_catalog
bn141022087,8.9994e-05,56952.0866,119.39,-75.17,Fermi-GBM,fermi_lat_grb_catalog
bn100112418,1.0497e-06,55208.4176,240.14,-75.1,Fermi-GBM,fermi_lat_grb_catalog
bn210411564,3.749e-06,59315.5644,115.68,-74.84,Fermi-GBM,fermi_lat_grb_catalog
bn190304818,2.9826e-06,58546.8176,357.74,-74.84,Fermi-GBM,fermi_lat_grb_catalog
bn161213295,1.1945e-06,57735.2952,238.61,-40.07,Fermi-GBM,fermi_lat_grb_catalog
bn121116459,4.9152e-07,56247.4586,180.88,-74.79,Fermi-GBM,fermi_lat_grb_catalog
bn210721978,9.3388e-07,59416.9782,31.5333,-75.2167,Fermi-GBM,fermi_lat_grb_catalog
bn091117080,3.6824e-06,55152.0801,246.54,-73.94,Fermi-GBM,fermi_lat_grb_catalog
bn190327111,6.3281e-06,58569.1105,79.07,-74.67,Fermi-GBM,fermi_lat_grb_catalog
bn110212550,6.3493e-07,55604.5504,311.33,-74.5,Fermi-GBM,fermi_lat_grb_catalog
bn161012637,6.1394e-07,57673.637,160.43,-74.28,Fermi-GBM,fermi_lat_grb_catalog
bn141221897,7.4393e-06,57012.8971,126.02,-74.21,Fermi-GBM,fermi_lat_grb_catalog
bn150602840,4.7133e-06,57175.8398,289.87,-74.21,Fermi-GBM,fermi_lat_grb_catalog
bn190825171,2.1626e-07,58720.1715,210.86,-74.14,Fermi-GBM,fermi_lat_grb_catalog
bn080714425,1.8139e-06,54661.425,187.5,-74.0,Fermi-GBM,fermi_lat_grb_catalog
